Teks,Bab,Pasal,Ayat,Poin,Penjelasan
TaxBase 6.0 Document - Page : 1SUSUNAN DALAM SATU NASKAH UNDANG-UNDANG PAJAK PENGHASILAN ,,,,,Bukan
KETENTUAN UMUM ,I,,,,Bukan
Pajak Penghasilan dikenakan terhadap Subjek Pajak atas Penghasilan yang diterima atau diperolehnya dalam tahun pajak. ,I,1,,,Bukan
"Undang-Undang ini mengatur pengenaan Pajak Penghasilan terhadap subjek pajak berkenaan dengan penghasilan yang diterima atau diperolehnya dalam tahun pajak. Subjek pajak tersebut dikenai pajak apabila menerima atau memperoleh penghasilan. Subjek pajak yang menerima atau memperoleh penghasilan, dalam Undang-Undang ini disebut Wajib Pajak. Wajib Pajak dikenai pajak atas penghasilan yang diterima atau diperolehnya selama satu tahun pajak atau dapat pula dikenai pajak untuk penghasilan dalam bagian tahun pajak apabila kewajiban pajak subjektifnya dimulai atau berakhir dalam tahun pajak. Yang dimaksud dengan “tahun pajak” dalam Undang-Undang ini adalah tahun kalender, tetapi Wajib Pajak dapat menggunakan tahun buku yang tidak sama dengan tahun kalender, sepanjang tahun buku tersebut meliputi jangka waktu 12 (dua belas) bulan ",I,1,,,Ya
SUBJEK PAJAK ,II,1,,,Bukan
(1) Yang menjadi Subjek Pajak adalah : ,II,2,1,,Bukan
a.1.orang pribadi; 2.warisan yang belum terbagi sebagai satu kesatuan menggantikan yang berhak; ,II,2,1,a,Bukan
b.badan; dan ,II,2,1,b,Bukan
c.bentuk usaha tetap. ,II,2,1,c,Bukan
(1a) Bentuk usaha tetap merupakan subjek pajak yang perlakuan perpajakannya dipersamakan dengan subjek pajak badan. ,II,2,1a,,Bukan
(2) Subjek pajak dibedakan menjadi subjek pajak dalam negeri dan subjek pajak luar negeri. ,II,2,2,,Bukan
(3) Subjek pajak dalam negeri adalah: ,II,2,3,,Bukan
"a.orang pribadi, baik yang merupakan Warga Negara Indonesia maupun warga negara asing yang: 1.bertempat tinggal di Indonesia; 2.berada di Indonesia lebih dari 183 (seratus delapan puluh tiga) hari dalam jangka waktu 12 (dua belas) bulan; atau 3.dalam suatu tahun pajak berada di Indonesia dan mempunyai niat untuk bertempat tinggal di Indonesia; ",II,2,3,a,Bukan
"b.badan yang didirikan atau bertempat kedudukan di Indonesia, kecuali unit tertentu dari badan pemerintah yang memenuhi kriteria: 1.pembentukannya berdasarkan ketentuan peraturan perundang-undangan; 2.pembiayaannya bersumber dari Anggaran Pendapatan dan Belanja Negara atau Anggaran Pendapatan dan Belanja Daerah; 3.penerimaannya dimasukkan dalam anggaran Pemerintah Pusat atau Pemerintah Daerah; dan 4.pembukuannya diperiksa oleh aparat pengawasan fungsional negara; dan ",II,2,3,b,Bukan
c.warisan yang belum terbagi sebagai satu kesatuan menggantikan yang berhak. ,II,2,3,c,Bukan
(4) Subjek pajak luar negeri adalah : ,II,2,4,,Bukan
a.orang pribadi yang tidak bertempat tinggal di Indonesia; ,II,2,4,a,Bukan
b.warga negara asing yang berada di Indonesia tidak lebih dari 183 (seratus delapan puluh tiga) hari dalam jangka waktu 12 (dua belas) bulan; ,II,2,4,b,Bukan
c.Warga Negara Indonesia yang berada di luar Indonesia lebih dari 183 (seratus delapan puluhTaxBase 6.0 Document - Page : 2tiga) hari dalam jangka waktu 12 (dua belas) bulan serta memenuhi persyaratan: 1.tempat tinggal; 2.pusat kegiatan utama; 3.tempat menjalankan kebiasan; 4.status subjek pajak; dan/atau 5.persyaratan tertentu lainnya yang ketentuan lebih lanjut mengenai persyaratan tersebut diatur dalam Peraturan Menteri Keuangan; dan ,II,2,4,c,Bukan
d.badan yang tidak didirikan dan tidak bertempat kedudukan di Indonesia yang menjalankan usaha atau melakukan kegiatan melalui bentuk usaha tetap di Indonesia atau yang dapat menerima atau memperoleh penghasilan dari Indonesia tidak dari menjalankan usaha atau melakukan kegiatan melalui bentuk usaha tetap di Indonesia. ,II,2,4,d,Bukan
"(5) Bentuk usaha tetap adalah bentuk usaha yang dipergunakan oleh orang pribadi sebagaimana dimaksud pada ayat (4) huruf a, huruf b, dan huruf c, dan badan sebagaimana dimaksud pada ayat ",II,2,5,,Bukan
(4) huruf d untuk menjalankan usaha atau melakukan kegiatan di Indonesia yang dapat berupa: ,II,2,4,,Bukan
a.tempat kedudukan manajemen; ,II,2,4,a,Bukan
b.cabang perusahaan; ,II,2,4,b,Bukan
c.kantor perwakilan; ,II,2,4,c,Bukan
d.gedung kantor; ,II,2,4,d,Bukan
e.pabrik; ,II,2,4,e,Bukan
f.bengkel; ,II,2,4,f,Bukan
g.gudang; ,II,2,4,g,Bukan
h.ruang untuk promosi dan penjualan; ,II,2,4,h,Bukan
i.pertambangan dan penggalian sumber alam; ,II,2,4,i,Bukan
j.wilayah kerja pertambangan minyak dan gas bumi; ,II,2,4,j,Bukan
"k.perikanan, peternakan, pertanian, perkebunan, atau kehutanan; ",II,2,4,k,Bukan
"l.proyek konstruksi, instalasi, atau proyek perakitan; ",II,2,4,l,Bukan
"m.pemberian jasa dalam bentuk apapun oleh pegawai atau oleh orang lain, sepanjang dilakukan lebih dari 60 (enam puluh) hari dalam jangka waktu 12 (dua belas) bulan; ",II,2,4,m,Bukan
n.orang atau badan yang bertindak selaku agen yang kedudukannya tidak bebas; ,II,2,4,n,Bukan
o.agen atau pegawai dari perusahaan asuransi yang tidak didirikan dan tidak bertempat kedudukan di Indonesia yang menerima premi asuransi atau menanggung risiko di Indonesia; dan ,II,2,4,o,Bukan
"p.komputer, agen elektronik, atau peralatan otomatis yang dimiliki, disewa, atau digunakan oleh penyelenggara transaksi elektronik untuk menjalankan kegiatan usaha melalui internet. ",II,2,4,p,Bukan
(6) Tempat tinggal orang pribadi atau tempat kedudukan badan ditetapkan oleh Direktur Jenderal Pajak menurut keadaan yang sebenarnya. ,II,2,6,,Bukan
Ayat (1) ,II,2,6,,Ya
"Huruf a Orang pribadi sebagai subjek pajak dapat bertempat tinggal atau berada di Indonesia ataupun di luar Indonesia. Warisan yang belum terbagi sebagai satu kesatuan merupakan subjek pajak pengganti, menggantikan mereka yang berhak yaitu ahli waris. Penunjukan warisan yang belum terbagi sebagai subjek pajak pengganti dimaksudkan agar pengenaan pajak atas penghasilan yang berasal dari warisan tersebut tetap dapat dilaksanakan. ",II,2,6,u,Bukan
"Huruf b Badan adalah sekumpulan orang dan/atau modal yang merupakan kesatuan baik yang melakukan usaha maupun yang tidak melakukan usaha yang meliputi perseroan terbatas, perseroan komanditer, perseroan lainnya, badan usaha milik negara atau badan usaha milik daerah dengan nama dan dalam bentuk apa pun, firma, kongsi, koperasi, dana pensiun, persekutuan, perkumpulan, yayasan, organisasi massa, organisasi sosial politik, atau organisasi lainnya, lembaga, dan bentuk badan lainnya termasuk kontrak investasi kolektif dan bentuk usaha tetap. Badan usaha milik negara dan badan usaha milik daerah merupakan subjek pajak tanpa memperhatikan nama dan bentuknya sehingga setiap unit tertentu dari badan Pemerintah, misalnya lembaga, badan, dan sebagainya yang dimiliki oleh Pemerintah Pusat dan Pemerintah Daerah yang menjalankan usaha atau melakukan kegiatan untuk memperoleh penghasilan merupakan subjek pajak.TaxBase 6.0 Document - Page : 3Dalam pengertian perkumpulan termasuk pula asosiasi, persatuan, perhimpunan, atau ikatan dari pihak-pihak yang mempunyai kepentingan yang sama. ",II,2,6,u,Bukan
"Huruf c Cukup jelas . Ayat (1a) Cukup jelas. Ayat (2) Subjek pajak dibedakan menjadi subjek pajak dalam negeri dan subjek pajak luar negeri. Subjek pajak orang pribadi dalam negeri menjadi Wajib Pajak apabila telah menerima atau memperoleh penghasilan yang besarnya melebihi Penghasilan Tidak Kena Pajak. Subjek pajak badan dalam negeri menjadi Wajib Pajak sejak saat didirikan, atau bertempat kedudukan di Indonesia. Subjek pajak luar negeri baik orang pribadi maupun badan sekaligus menjadi Wajib Pajak karena menerima dan/atau memperoleh penghasilan yang bersumber dari Indonesia atau menerima dan/atau memperoleh penghasilan yang bersumber dari Indonesia melalui bentuk usaha tetap di Indonesia. Dengan perkataan lain, Wajib Pajak adalah orang pribadi atau badan yang telah memenuhi kewajiban subjektif dan objektif. Sehubungan dengan pemilikan Nomor Pokok Wajib Pajak (NPWP), Wajib Pajak orang pribadi yang menerima penghasilan di bawah Penghasilan Tidak Kena Pajak (PTKP) tidak wajib mendaftarkan diri untuk memperoleh NPWP . Perbedaan yang penting antara Wajib Pajak dalam negeri dan Wajib Pajak luar negeri terletak dalam pemenuhan kewajiban pajaknya, antara lain : ",II,2,6,u,Bukan
"a.Wajib Pajak dalam negeri dikenai pajak atas penghasilan baik yang diterima atau diperoleh dari Indonesia maupun dari luar Indonesia, sedangkan Wajib Pajak luar negeri dikenai pajak hanya atas penghasilan yang berasal dari sumber penghasilan di Indonesia . ",II,2,6,a,Bukan
"b.Wajib Pajak dalam negeri dikenai pajak berdasarkan penghasilan neto dengan tarif umum, sedangkan Wajib Pajak luar negeri dikenai pajak berdasarkan penghasilan bruto dengan tarif pajak sepadan; dan ",II,2,6,b,Bukan
"c.Wajib Pajak dalam negeri wajib menyampaikan Surat Pemberitahuan Tahunan Pajak Penghasilan sebagai sarana untuk menetapkan pajak yang terutang dalam suatu tahun pajak, sedangkan Wajib Pajak luar negeri tidak wajib menyampaikan Surat Pemberitahuan Tahunan Pajak Penghasilan karena kewajiban pajaknya dipenuhi melalui pemotongan pajak yang bersifat final. Bagi Wajib Pajak luar negeri yang menjalankan usaha atau melakukan kegiatan melalui bentuk usaha tetap di Indonesia, pemenuhan kewajiban perpajakannya dipersamakan dengan pemenuhan kewajiban perpajakan Wajib Pajak badan dalam negeri sebagaimana diatur dalam Undang-Undang ini dan Undang-Undang yang mengatur mengenai ketentuan umum dan tata cara perpajakan . Ayat (3) ",II,2,6,c,Bukan
"Huruf a Pada prinsipnya orang pribadi yang menjadi subjek pajak dalam negeri adalah orang pribadi yang bertempat tinggal atau berada di Indonesia. Termasuk dalam pengertian orang pribadi yang bertempat tinggal di Indonesia adalah mereka yang mempunyai niat untuk bertempat tinggal di Indonesia. Apakah seseorang mempunyai niat untuk bertempat tinggal di Indonesia ditimbang menurut keadaan . Keberadaan orang pribadi di Indonesia lebih dari 183 (seratus delapan puluh tiga) hari tidaklah harus berturut-turut, tetapi ditentukan oleh jumlah hari orang tersebut berada di Indonesia dalam jangka waktu 12 (dua belas) bulan sejak kedatangannya di Indonesia. ",II,2,6,u,Bukan
Huruf b Cukup jelas. ,II,2,6,u,Bukan
